train_sharpe,train_annual_return,train_crisis_return,z,th,sw,sth,ddw,ddt,cw,val_sharpe,val_annual_return,val_crisis_return,selection_score
0.43991606057891636,0.0595966563082988,-0.009284172595948603,10,2.0,20,-0.03,100,-0.05,0.3,0.7418040282695983,0.11091069117651409,-0.5729419321045934,0.36444406865624585
0.43749131682818654,0.05917257831748479,-0.010262311818217906,10,2.0,20,-0.03,100,-0.05,0.4,0.7422506290805491,0.11095231058068178,-0.5615972169085879,0.36130148876509594
0.4428555296373731,0.06010672886374113,-0.007795542965389757,10,2.0,20,-0.05,50,-0.03,0.2,0.7372751257452482,0.11020351575241949,-0.5953678130312612,0.36925063061040436
0.4410894758741135,0.05979587708149303,-0.008590477989577017,10,2.0,20,-0.05,50,-0.03,0.3,0.7358164691464983,0.10992101428735701,-0.592405304832826,0.3674077275560173
0.4391584648929801,0.05945722469703263,-0.009457098120863039,10,2.0,20,-0.05,50,-0.03,0.4,0.7343782706249816,0.10964572695714914,-0.5892031117680805,0.36535351345997974
0.4428555296373731,0.06010672886374113,-0.007795542965389757,10,2.0,20,-0.05,50,-0.05,0.2,0.7372751257452482,0.11020351575241949,-0.5953678130312612,0.36925063061040436
0.4410894758741135,0.05979587708149303,-0.008590477989577017,10,2.0,20,-0.05,50,-0.05,0.3,0.7358164691464983,0.10992101428735701,-0.592405304832826,0.3674077275560173
0.4391584648929801,0.05945722469703263,-0.009457098120863039,10,2.0,20,-0.05,50,-0.05,0.4,0.7343782706249816,0.10964572695714914,-0.5892031117680805,0.36535351345997974
0.44304905493465696,0.06014393273127494,-0.00816724280925385,10,2.0,20,-0.05,100,-0.03,0.2,0.7371272289411497,0.11016815250771139,-0.5950028846131304,0.3695295114330338
0.44108612747535164,0.059799218344473326,-0.009049651799855951,10,2.0,20,-0.05,100,-0.03,0.3,0.735776411328798,0.10990422008056688,-0.5918813933615164,0.36741355651199004
0.4389920341649195,0.05943248618230701,-0.009988417275692107,10,2.0,20,-0.05,100,-0.03,0.4,0.7344041371489319,0.10964012645979437,-0.5886191681009737,0.3651390084189164
0.44304905493465696,0.06014393273127494,-0.00816724280925385,10,2.0,20,-0.05,100,-0.05,0.2,0.7371272289411497,0.11016815250771139,-0.5950028846131304,0.3695295114330338
0.44108612747535164,0.059799218344473326,-0.009049651799855951,10,2.0,20,-0.05,100,-0.05,0.3,0.735776411328798,0.10990422008056688,-0.5918813933615164,0.36741355651199004
0.4389920341649195,0.05943248618230701,-0.009988417275692107,10,2.0,20,-0.05,100,-0.05,0.4,0.7344041371489319,0.10964012645979437,-0.5886191681009737,0.3651390084189164
0.4438040205152989,0.06026788681971862,-0.0073529817625761495,10,2.0,40,-0.03,50,-0.03,0.2,0.7371499339026102,0.11018051509216442,-0.5959490222214228,0.37046754216847105
0.4422331426057171,0.0599898953042568,-0.008026296489607287,10,2.0,40,-0.03,50,-0.03,0.3,0.7350993575425574,0.10979188127523298,-0.5935407108656194,0.369016588871507
0.44007547037707745,0.05961278271025394,-0.008989560037725886,10,2.0,40,-0.03,50,-0.03,0.4,0.7334411075690003,0.10947617978897695,-0.590478685281171,0.36673406107909673
0.4438040205152989,0.06026788681971862,-0.0073529817625761495,10,2.0,40,-0.03,50,-0.05,0.2,0.7371499339026102,0.11018051509216442,-0.5959490222214228,0.37046754216847105
0.4422331426057171,0.0599898953042568,-0.008026296489607287,10,2.0,40,-0.03,50,-0.05,0.3,0.7350993575425574,0.10979188127523298,-0.5935407108656194,0.369016588871507
0.44007547037707745,0.05961278271025394,-0.008989560037725886,10,2.0,40,-0.03,50,-0.05,0.4,0.7334411075690003,0.10947617978897695,-0.590478685281171,0.36673406107909673
0.44355389721595917,0.060230142866464664,-0.007931882583381067,10,2.0,40,-0.03,100,-0.03,0.2,0.7366044372059586,0.11007475994686589,-0.5961876995537712,0.3702912622184593
0.44158678282880426,0.05988458877148739,-0.008782488744552452,10,2.0,40,-0.03,100,-0.03,0.3,0.7347035025759596,0.10971242982420693,-0.5937044052478659,0.3683076028920154
0.4395076094676077,0.05952041177275702,-0.009711634684135828,10,2.0,40,-0.03,100,-0.03,0.4,0.73304516182917,0.10939629466316236,-0.5905204184902737,0.3661232213772171
0.44355389721595917,0.060230142866464664,-0.007931882583381067,10,2.0,40,-0.03,100,-0.05,0.2,0.7366044372059586,0.11007475994686589,-0.5961876995537712,0.3702912622184593
0.44158678282880426,0.05988458877148739,-0.008782488744552452,10,2.0,40,-0.03,100,-0.05,0.3,0.7347035025759596,0.10971242982420693,-0.5937044052478659,0.3683076028920154
0.4395076094676077,0.05952041177275702,-0.009711634684135828,10,2.0,40,-0.03,100,-0.05,0.4,0.73304516182917,0.10939629466316236,-0.5905204184902737,0.3661232213772171
0.4432118932589629,0.06017457276294613,-0.007656673673063108,10,2.0,40,-0.05,50,-0.03,0.2,0.7334450919571517,0.10953871213879274,-0.602794870021408,0.3706535935844157
0.4414991459405367,0.059876096690191005,-0.00844010681048979,10,2.0,40,-0.05,50,-0.03,0.3,0.7300936156541105,0.10892817872485394,-0.6035230131700604,0.36935052851214323
0.4395083599015206,0.0595306160367417,-0.009346419410894091,10,2.0,40,-0.05,50,-0.03,0.4,0.7266020245344424,0.10829681882311393,-0.6042954898681032,0.36773494374329013
0.4432118932589629,0.06017457276294613,-0.007656673673063108,10,2.0,40,-0.05,50,-0.05,0.2,0.7334450919571517,0.10953871213879274,-0.602794870021408,0.3706535935844157
